Date,Greenhouse Temp,Greenhouse Humidity,Soil Temp, Soil Humidity,Outside Lux,Notes
3/2/2024,56,67,-,-,-,-
3/3/2024,67,66.34,-,-,-,-
3/4/2024,70,59.12,-,-,-,-
3/5/2024,55,73.61,-,-,-,-
3/6/2024,52,80.3,-,-,-,-
3/7/2024,64,64.61,-,-,-,-
3/8/2024,63,62.16,-,-,-,-
3/9/2024,48,74.29,-,-,-,-
3/10/2024,57,63.25,-,-,-,Heater failure in Greenhouse
3/11/2024,59,51.04,-,-,-,Heater replaced
3/12/2024,71,44.34,54.5,-,2225,-
3/13/2024,70,45.56,54.1,-,2555,-
3/14/2024,77,45.08,55.4,-,1805,-
3/15/2024,65,58.47,56.4,-,1988,-
3/16/2024,62,53.51,55.4,-,2384,Installed greenhouse exhaust fan/heater upgraded
3/17/2024,70,43.24,55.9,-,2299,-
3/18/2024,59,37.95,50.3,-,2525,-
3/19/2024,63,36.27,48,-,2168,-
3/20/2024,69,35.19,50.9,-,2182,-
3/21/2024,60,30.46,46.4,-,1812,-
3/22/2024,62,35.5,46.2,-,1926,-
3/23/2024,52,55.15,44.4,-,1481,-
3/24/2024,60,42.26,47.3,-,2324,-
4/1/2024,58,68.26,-,-,-,-
4/2/2024,55,78,-,-,-,-
4/3/2024,51,80.82,-,-,-,-
4/4/2024,56,72.15,-,-,-,-
4/5/2024,50,74.17,-,-,-,-
4/6/2024,60,62.51,-,-,-,-
4/7/2024,62,55.78,-,-,-,-
4/8/2024,67,52.29,-,-,-,-
4/9/2024,77,52.91,-,-,-,-
4/10/2024,78,59.31,-,-,-,-
4/11/2024,69,70.84,-,-,-,-
4/12/2024,60,66.93,-,-,-,-
4/13/2024,63,58.92,-,-,-,-
4/14/2024,69,53.6,-,-,-,-
4/15/2024,77,55.83,-,-,-,-
4/16/2024,70,54.48,-,-,-,-
4/17/2024,68,60.65,-,-,-,-
4/18/2024,70,63.04,-,-,-,-
4/19/2024,57,71.92,-,-,-,-
4/20/2024,69,53.98,-,-,-,-
4/21/2024,56,51.02,-,-,-,-
4/22/2024,64,47.75,-,-,-,-
4/23/2024,69,42.93,-,-,-,-
4/24/2024,75,43.36,-,-,-,-
4/25/2024,66,46.57,-,-,-,-
4/26/2024,68,42.9,-,-,-,-
4/27/2024,58,55.74,-,-,-,-
4/28/2024,77,58.16,-,-,-,-
4/29/2024,81,54.05,-,-,-,-
4/30/2024,80,50.77,-,-,-,-
